"","Herria","Lema","Erantzuna","Erantzuna..fon.","galdera"
"1","Abaurregaina  / Abaurrea Alta","ama","áma","áma","2480"
"2","Ahetze","ama","amá","amá","2480"
"3","Aia","ama","amá","amá","2480"
"4","Aldude","ama","áma","áma","2480"
"5","Alkotz","ama","ámá","ámá","2480"
"6","Altzai","ama","áma","áma","2480"
"7","Altzürükü","ama","áma","áma","2480"
"8","Amezketa","ama","ámá","ámá","2480"
"9","Andoain","ama","amá","amá","2480"
"10","Aniz","ama","ama","ama","2480"
"11","Aramaio","ama","áma","áma","2480"
"12","Araotz (Oñati)","ama","áma","áma","2480"
"13","Arbizu","ama","áma","áma","2480"
"14","Arboti","ama","áma","áma","2480"
"15","Armendaritze","ama","áma","áma","2480"
"16","Arnegi","ama","amá","amá","2480"
"17","Arrangoitze","ama","áma","áma","2480"
"18","Arrasate","ama","áma","áma","2480"
"19","Arrazola (Atxondo)","ama","áma","áma","2480"
"20","Arrieta","ama","ámá","ámá","2480"
"21","Arroa (Zestoa)","ama","áma","áma","2480"
"22","Arrueta","ama","áma","áma","2480"
"23","Asteasu","ama","amá","amá","2480"
"24","Ataun","ama","amá","amá","2480"
"25","Azkaine","ama","áma","áma","2480"
"26","Azkoitia","ama","áma","áma","2480"
"27","Azpeitia","ama","áma","áma","2480"
"28","Baigorri","ama","ama","ama","2480"
"29","Bakio","ama","amá","amá","2480"
"30","Bardoze","ama","áma","áma","2480"
"31","Barkoxe","ama","áma","áma","2480"
"32","Bastida","ama","ama","ama","2480"
"33","Beasain","ama","áma","áma","2480"
"34","Behorlegi","ama","amá","amá","2480"
"35","Beizama","ama","ámá","ámá","2480"
"36","Bergara","ama","ama","ama","2480"
"37","Bermeo","ama","amá","amá","2480"
"38","Berriz","ama","áma","áma","2480"
"39","Beruete","ama","ámá","ámá","2480"
"40","Beskoitze","ama","áma","áma","2480"
"41","Bidarrai","ama","áma","áma","2480"
"42","Bolibar","ama","áma","áma","2480"
"43","Busturia","ama","amá","amá","2480"
"44","Deba","ama","áma","áma","2480"
"45","Dima","ama","áma","áma","2480"
"46","Domintxaine","ama","amá","amá","2480"
"47","Domintxaine","ama","áma","áma","2480"
"48","Donamaria","ama","áma","áma","2480"
"49","Donibane Lohizune","ama","amá","amá","2480"
"50","Donostia","ama","ama","ama","2480"
"51","Dorrao / Torrano","ama","amá","amá","2480"
"52","Eibar","ama","áma","áma","2480"
"53","Elantxobe","ama","áma","áma","2480"
"54","Elduain","ama","ámá","ámá","2480"
"55","Elgoibar","ama","áma","áma","2480"
"56","Elorrio","ama","áma","áma","2480"
"57","Erratzu","ama","áma","áma","2480"
"58","Errezil","ama","amá","amá","2480"
"59","Errigoiti","ama","amá","amá","2480"
"60","Eskiula","ama","áma","áma","2480"
"61","Etxalar","ama","amá","amá","2480"
"62","Etxaleku","ama","amá","amá","2480"
"63","Etxarri (Larraun)","ama","amá","amá","2480"
"64","Etxebarri","ama","áma","áma","2480"
"65","Etxebarria","ama","ámá","ámá","2480"
"66","Eugi","ama","áma","áma","2480"
"67","Ezkio-Itsaso","ama","áma","áma","2480"
"68","Ezkurra","ama","ámá","ámá","2480"
"69","Ezterenzubi","ama","áma","áma","2480"
"70","Gaintza","ama","amá","amá","2480"
"71","Gamarte","ama","áma","áma","2480"
"72","Gamiz-Fika","ama","áma","áma","2480"
"73","Garrüze","ama","áma","áma","2480"
"74","Getaria","ama","ámá","ámá","2480"
"75","Getxo","ama","áma","áma","2480"
"76","Gizaburuaga","ama","áma","áma","2480"
"77","Goizueta","ama","áma","áma","2480"
"78","Hazparne","ama","áma","áma","2480"
"79","Hendaia","ama","amá","amá","2480"
"80","Hernani","ama","amá","amá","2480"
"81","Hondarribia","ama","ama","ama","2480"
"82","Ibarruri (Muxika)","ama","áma","áma","2480"
"83","Igoa","ama","amá","amá","2480"
"84","Ikaztegieta","ama","áma","áma","2480"
"85","Irisarri","ama","áma","áma","2480"
"86","Itsasu","ama","áma","áma","2480"
"87","Izturitze","ama","áma","áma","2480"
"88","Jaurrieta","ama","áma","áma","2480"
"89","Jutsi","ama","ama","ama","2480"
"90","Kortezubi","ama","áma","áma","2480"
"91","Landibarre","ama","amá","amá","2480"
"92","Larrabetzu","ama","áma","áma","2480"
"93","Larraine","ama","áma","áma","2480"
"94","Larzabale","ama","ama","ama","2480"
"95","Lasarte-Oria","ama","amá","amá","2480"
"96","Laukiz","ama","áma","áma","2480"
"97","Legazpi","ama","ama","ama","2480"
"98","Leintz Gatzaga","ama","áma","áma","2480"
"99","Leioa","ama","áma","áma","2480"
