"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","anea","anéa","anéa"
"2","Ahetze","anai","anái","anái̯"
"3","Aia","anai","anái","anái̯"
"4","Aldude","anaia","anáia","anái̯a"
"5","Alkotz","anaye","anáye","anáǰe"
"6","Altzai","anaie","anáie","anáje"
"7","Altzürükü","anaie","anáie","anáje"
"8","Amezketa","anai","anái","anái̯"
"9","Andoain","anai","anái","anái̯"
"10","Aniz","anai","ánai","ánai̯"
"11","Aramaio","anai","ánai","ánai̯"
"12","Aramaio","neba","néba","néβa"
"13","Araotz (Oñati)","anae","anáe","anáe"
"14","Arbizu","anei","anéi","anéi̯"
"15","Arbizu","anedda","áneddá","áneddá"
"16","Arbizu","aneya","áneyá","áneǰá"
"17","Arboti","anaia","anáia","anája"
"18","Armendaritze","anaia","anáia","anái̯a"
"19","Arnegi","anaia","anáia","anái̯a"
"20","Arrangoitze","anaia","anaiá","anai̯á"
"21","Arrasate","anai","ánai","ánai̯"
"22","Arrazola (Atxondo)","neba","néba","néβa"
"23","Arrieta","neba","nebá","neβá"
"24","Arroa (Zestoa)","anai","anái","anái̯"
"25","Arrueta","aneia","anéia","anéja"
"26","Asteasu","anai","anái","anái̯"
"27","Ataun","anai","anái","anái̯"
"28","Azkaine","anaia","anáia","anái̯a"
"29","Azkoitia","anai","anái","anái̯"
"30","Azpeitia","anai","anái","anái̯"
"31","Baigorri","anai","anai","anai̯"
"32","Bakio","neba","néba","néβa"
"33","Bardoze","anea","ánea","ánea"
"34","Barkoxe","anaie","anáie","anáje"
"35","Bastida","anea","anea","anea"
"36","Beasain","anai","anái","anái̯"
"37","Behorlegi","anaia","anaiá","anai̯á"
"38","Beizama","anai","anái","anái̯"
"39","Bergara","anae","anáe","anáe"
"40","Bermeo","neba","nebá","neβá"
"41","Berriz","neba","néba","néβa"
"42","Beruete","anai","anái","anái̯"
"43","Beskoitze","aneia","anéia","anéi̯a"
"44","Bidarrai","aneia","anéia","anéi̯a"
"45","Bolibar","neba","néba","néβa"
"46","Busturia","neba","nebá","neβá"
