"","Herria","Lema","Erantzuna","Erantzuna (fon)"
"1","Abaurregaina  / Abaurrea Alta","lengusia","lengúsia","leŋgúśja"
"2","Ahetze","leenkusin","leénkusín","leéŋkuśín"
"3","Aia","lengusu","lengusú","leŋguśú"
"4","Aia","lengusupropiyo","lengúsuprrópiyo","leŋgúśupr̄ópiǰo"
"5","Aldude","lenkusi","lénkusí","lé:ŋkuśí"
"6","Alkotz","lengusie","lengusíe","leŋguśíe"
"7","Altzai","küzüña","küzüña","kysỹɲa"
"8","Altzürükü","küzüña","küz´üña","kysỹ́ɲã"
"9","Amezketa","lengusu","léngusú","léŋguśú"
"10","Andoain","lengusu","léngusú","léŋguśú"
"11","Aniz","lengusiñ","léngusiñ","léŋguśiɲ"
"12","Aramaio","prima","prríma","pr̄íma"
"13","Aramaio","lengusiña","léngusiña","léŋguśiɲa"
"14","Araotz (Oñati)","prima","prríma","pr̄íma"
"15","Arbizu","lengusu","lengusú","leŋguśú"
"16","Arboti","kusilehen","kúsilehén","kúśilehén"
"17","Armendaritze","kusi","kúsi","kúśi"
"18","Armendaritze","lehenkusi","lehénkusí","lehéŋkuśí"
"19","Arnegi","kusina","kúsina","kúśina"
"20","Arnegi","leenkusina","leénkusína","leéŋkuśína"
"21","Arrangoitze","leenkusina","leénkusína","leéŋkuśína"
"22","Arrasate","prima","prríma","pr̄íma"
"23","Arrazola (Atxondo)","lengusiña","léngusiña","léŋguśiɲa"
"24","Arrieta","lengusin","léngusín","léŋguśín"
"25","Arroa (Zestoa)","lengusu","lengusú","leŋguśú"
"26","Arrueta","lenkusiak","lenkusiak","leŋkuśiak"
"27","Arrueta","kusi","kúsi","kúśi"
"28","Asteasu","lengusu","léngusu","lé:ŋguśu"
"29","Asteasu","lengusupropidduak","lengusupropidduak","leŋguśupropidduak"
"30","Ataun","lengusu","lengusú","leŋguśú"
"31","Azkaine","kusiña","kusíña","kuśíɲa"
"32","Azkaine","leenkusiñak","leénkusíñak","leéŋkuśíɲak"
"33","Azkoitia","lengusu","léngusu","léŋguśu"
"34","Azpeitia","lengusu","lengusú","leŋguśú"
"35","Baigorri","kusi","kusi","kuśi"
"36","Baigorri","lehenkusi","lehenkusi","leheŋkuśi"
"37","Bakio","lengusiñe","léngusiñe","léŋguśiɲe"
"38","Bardoze","kusiak","kúsiak","kúśjak"
"39","Bardoze","kusipropio","kúsiprópio","kúśiprópjo"
"40","Bardoze","kusiurrundiak","kúsiurrúndiak","kúśiur̄úndjak"
"41","Barkoxe","kosia","kosía","koźía"
"42","Bastida","kuzi","kuzi","kusi"
"43","Beasain","lengusu","léngusu","léŋɣuśu"
"44","Behorlegi","kusi","kusí","kuśí"
